Organizations-Enhanced	records	% of 168316
RUTGERS STATE UNIVERSITY	1294	0.769
UNIVERSITY SYSTEM OF MARYLAND	1254	0.745
INSTITUTE LAUE LANGEVIN	1236	0.734
IOFFE PHYSICAL TECHNICAL INSTITUTE	1220	0.725
NATIONAL INSTITUTE OF MATERIALS SCIENCE NIMS JAPAN	1219	0.724
JULICH RESEARCH CENTER	1219	0.724
FLORIDA STATE UNIVERSITY	1214	0.721
UNIVERSITY OF CALIFORNIA SAN DIEGO	1208	0.718
RIKEN	1154	0.686
UNIVERSITY OF WISCONSIN SYSTEM	1139	0.677
UPPSALA UNIVERSITY	1115	0.662
EUROPEAN SYNCHROTRON RADIAT FACIL	1100	0.654
PURDUE UNIVERSITY SYSTEM	1093	0.649
PURDUE UNIVERSITY	1090	0.648
NORTHWESTERN UNIVERSITY	1090	0.648
UNIVERSITY OF TEXAS AUSTIN	1056	0.627
AUTONOMOUS UNIVERSITY OF MADRID	1026	0.610
SANDIA NATIONAL LABORATORY	1017	0.604
PAUL SCHERRER INSTITUTE	1002	0.595
UNIVERSITY OF MINNESOTA TWIN CITIES	989	0.588
UNIVERSITY OF MINNESOTA SYSTEM	989	0.588
NATIONAL ACADEMY OF SCIENCES UKRAINE	977	0.580
PENN STATE UNIVERSITY	959	0.570
BELL TEL LABS INC	935	0.556
UNIVERSITY OF PENNSYLVANIA	930	0.553
UNIVERSITY OF ANTWERP	920	0.547
UNIVERSITY OF TENNESSEE SYSTEM	916	0.544
TECHNICAL UNIVERSITY OF MUNICH	916	0.544
UNIVERSITY OF TENNESSEE KNOXVILLE	915	0.544
CZECH ACADEMY OF SCIENCES	899	0.534
SAPIENZA UNIVERSITY ROME	892	0.530
TOKYO INSTITUTE OF TECHNOLOGY	891	0.529
STFC RUTHERFORD APPLETON LABORATORY	870	0.517
FREE UNIVERSITY OF BERLIN	861	0.512
UNIVERSITY OF CALIFORNIA LOS ANGELES	851	0.506
OHIO STATE UNIVERSITY	847	0.503
UNIVERSITY OF LONDON	845	0.502
CHALMERS UNIVERSITY OF TECHNOLOGY	841	0.500
LINKOPING UNIVERSITY	840	0.499
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM	826	0.491
NANJING UNIVERSITY	823	0.489
VIENNA UNIVERSITY OF TECHNOLOGY	817	0.485
UNIVERSITY OF TORONTO	815	0.484
UNIVERSITY OF HAMBURG	813	0.483
UNIVERSITY OF WURZBURG	812	0.482
HELMHOLTZ ZENTRUM BERLIN HZB	811	0.482
ROYAL INSTITUTE OF TECHNOLOGY	806	0.479
UNIVERSITY OF FLORIDA	799	0.475
AALTO UNIVERSITY	799	0.475
UNIVERSITY OF CALIFORNIA DAVIS	798	0.474
MCMASTER UNIVERSITY	791	0.470
UNIVERSITY OF CALIFORNIA IRVINE	787	0.468
CALIFORNIA INSTITUTE OF TECHNOLOGY	786	0.467
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK	783	0.465
UNIVERSITY OF WISCONSIN MADISON	779	0.463
HEBREW UNIVERSITY OF JERUSALEM	774	0.460
UNIVERSITY OF MICHIGAN SYSTEM	768	0.456
UNIVERSITY OF MICHIGAN	768	0.456
UNIVERSITY SYSTEM OF GEORGIA	756	0.449
LAWRENCE LIVERMORE NATIONAL LABORATORY	756	0.449
UNIVERSIDADE DE SAO PAULO	747	0.444
NAGOYA UNIVERSITY	741	0.440
UNIVERSITY OF COLOGNE	738	0.438
UNIVERSITY OF TSUKUBA	735	0.437
TEL AVIV UNIVERSITY	732	0.435
UNIVERSITY OF BRITISH COLUMBIA	731	0.434
UNIVERSITY OF ZURICH	730	0.434
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY	730	0.434
TECHNICAL UNIVERSITY OF DENMARK	723	0.430
UNIVERSITY OF BASQUE COUNTRY	714	0.424
CHINA CENTER OF ADVANCED SCIENCE TECHNOLOGY CCAST	714	0.424
UNIVERSITY OF MUNICH	712	0.423
UNIVERSITY OF MISSOURI SYSTEM	712	0.423
PRES UNIVERSITY SORBONNE PARIS CITE	709	0.421
UNIVERSITY OF HOUSTON	706	0.419
NATIONAL RESEARCH COUNCIL CANADA	706	0.419
UNIVERSITY OF GRONINGEN	693	0.412
WEIZMANN INSTITUTE OF SCIENCE	688	0.409
UNIVERSITY OF AUGSBURG	682	0.405
UNIVERSITY OF REGENSBURG	675	0.401
LUND UNIVERSITY	672	0.399
IMPERIAL COLLEGE LONDON	669	0.397
DELFT UNIVERSITY OF TECHNOLOGY	666	0.396
PRES UNIVERSITE DE TOULOUSE	660	0.392
DRESDEN UNIVERSITY OF TECHNOLOGY	653	0.388
UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA	649	0.386
UNIVERSITY OF NORTH CAROLINA	642	0.381
INDIAN INSTITUTE OF TECHNOLOGY IIT	642	0.381
ECOLE NORMALE SUPERIEURE ENS PARIS	642	0.381
HUNGARIAN ACADEMY OF SCIENCES	640	0.380
NATIONAL RENEWABLE ENERGY LABORATORY USA	639	0.380
HOKKAIDO UNIVERSITY	637	0.378
RADBOUD UNIVERSITY NIJMEGEN	635	0.377
UNIVERSITY OF VIENNA	629	0.374
JAPAN ATOMIC ENERGY AGENCY	628	0.373
LEIDEN UNIVERSITY	625	0.371
UNIVERSITY OF PARIS DIDEROT PARIS VII	623	0.370
RWTH AACHEN UNIVERSITY	622	0.370
UNIVERSITY OF STUTTGART	618	0.367
XEROX	617	0.367
UNIVERSIDADE ESTADUAL DE CAMPINAS	616	0.366
UNIVERSITY OF MONTPELLIER	615	0.365
TECHNICAL UNIVERSITY OF BERLIN	612	0.364
UNIVERSITY OF MONTPELLIER SUD DE FRANCE	610	0.362
UNIVERSITY OF GENEVA	597	0.355
TSINGHUA UNIVERSITY	597	0.355
KU LEUVEN	586	0.348
POHANG UNIVERSITY OF SCIENCE TECHNOLOGY POSTECH	584	0.347
FUDAN UNIVERSITY	580	0.345
HIROSHIMA UNIVERSITY	579	0.344
SEOUL NATIONAL UNIVERSITY	572	0.340
UNIVERSITY OF AIX MARSEILLE	558	0.332
RUHR UNIVERSITY BOCHUM	557	0.331
ECOLE POLYTECHNIQUE	557	0.331
UNIVERSITY OF DUISBURG ESSEN	556	0.330
INDIAN INSTITUTE OF SCIENCE IISC BANGLORE	556	0.330
BROWN UNIVERSITY	556	0.330
UNIVERSITY COLLEGE LONDON	555	0.330
INTERNATIONAL SCHOOL FOR ADVANCED STUDIES	554	0.329
UNIVERSITY OF WASHINGTON SEATTLE	553	0.329
UNIVERSITY OF WASHINGTON	553	0.329
NIPPON TELEGRAPH TELEPHONE CORPORATION	538	0.320
ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS	538	0.320
UNIVERSITY OF UTAH	533	0.317
ARIZONA STATE UNIVERSITY	522	0.310
LOMONOSOV MOSCOW STATE UNIVERSITY	521	0.310
YALE UNIVERSITY	517	0.307
CALIFORNIA STATE UNIVERSITY SYSTEM	516	0.307
UNIVERSITA DI MODENA E REGGIO EMILIA	512	0.304
TATA INSTITUTE OF FUNDAMENTAL RESEARCH	510	0.303
ISTITUTO NAZIONALE DI FISICA NUCLEARE	508	0.302
COMPLUTENSE UNIVERSITY OF MADRID	507	0.301
UNIVERSITY OF VIRGINIA	501	0.298
UNIVERSITY OF NEW SOUTH WALES	498	0.296
UNIVERSITY OF BARCELONA	495	0.294
UNIVERSITY OF ZARAGOZA	494	0.293
COLUMBIA UNIVERSITY	493	0.293
MICHIGAN STATE UNIVERSITY	492	0.292
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	490	0.291
UNIVERSITY OF SHERBROOKE	484	0.288
BOSTON UNIVERSITY	484	0.288
UNIVERSITY OF HOUSTON SYSTEM	482	0.286
UNIVERSITY OF ERLANGEN NUREMBERG	481	0.286
PEKING UNIVERSITY	480	0.285
INDIANA UNIVERSITY SYSTEM	479	0.285
UNIVERSITY OF ROME TOR VERGATA	476	0.283
UNIVERSITY OF WARWICK	475	0.282
UNIVERSITY OF STRASBOURG	475	0.282
UNIVERSITY OF PAUL SABATIER TOULOUSE III	474	0.282
STATE UNIVERSITY OF NEW YORK SUNY BUFFALO	472	0.280
PRES UNIVERSITY OF LYON	472	0.280
UNIVERSITY OF LORRAINE	468	0.278
SIMON FRASER UNIVERSITY	467	0.277
COMIS NACL ENERGIA ATOM	467	0.277
AARHUS UNIVERSITY	467	0.277
INDIANA UNIVERSITY BLOOMINGTON	463	0.275
JOHNS HOPKINS UNIVERSITY	461	0.274
UNIVERSITY OF SOUTHERN CALIFORNIA	459	0.273
JOZEF STEFAN INSTITUTE	458	0.272
DORTMUND UNIVERSITY OF TECHNOLOGY	457	0.272
NATIONAL RESEARCH CENTRE KURCHATOV INSTITUTE	454	0.270
NATIONAL UNIVERSITY OF SINGAPORE	450	0.267
EINDHOVEN UNIVERSITY OF TECHNOLOGY	450	0.267
UNIVERSITY OF HONG KONG	449	0.267
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR INDIA	448	0.266
BEN GURION UNIVERSITY	448	0.266
UNIVERSITY OF GOTTINGEN	446	0.265
UNIVERSITY OF CLAUDE BERNARD LYON 1	443	0.263
UNIVERSITY OF BASEL	437	0.260
INSTITUTE FOR INTEGRATIVE NANOSCIENCES IIN	432	0.257
CITY COLLEGE OF NEW YORK CUNY	432	0.257
HONG KONG UNIVERSITY OF SCIENCE TECHNOLOGY	430	0.255
UNIVERSITY OF AMSTERDAM	427	0.254
JAPAN SYNCHROTRON RADIATION RESEARCH INSTITUTE	427	0.254
BUDAPEST UNIVERSITY OF TECHNOLOGY ECONOMICS	425	0.253
GEORGIA INSTITUTE OF TECHNOLOGY	424	0.252
BAR ILAN UNIVERSITY	424	0.252
NATIONAL TAIWAN UNIVERSITY	423	0.251
MCGILL UNIVERSITY	421	0.250
UTAH SYSTEM OF HIGHER EDUCATION	416	0.247
TEXAS A M UNIVERSITY SYSTEM	415	0.247
HIGH ENERGY ACCELERATOR RESEARCH ORGANIZATION KEK	408	0.242
UNIVERSITY OF COLORADO SYSTEM	407	0.242
UNIVERSITY OF EXETER	406	0.241
NORTH CAROLINA STATE UNIVERSITY	402	0.239
FORSCHUNGSZENTRUM JULICH	402	0.239
OREGON UNIVERSITY SYSTEM	401	0.238
NEC CORPORATION	401	0.238
LOUISIANA STATE UNIVERSITY SYSTEM	398	0.236
LOUISIANA STATE UNIVERSITY	398	0.236
NORTHEASTERN UNIVERSITY	397	0.236
UNIVERSITY OF NOTTINGHAM	396	0.235
PHILIPPS UNIVERSITY MARBURG	395	0.235
TEXAS A M UNIVERSITY COLLEGE STATION	393	0.233
GOETHE UNIVERSITY FRANKFURT	390	0.232
UNIVERSITY OF KENTUCKY	387	0.230
UNIVERSITY OF COPENHAGEN	387	0.230
PHILIPS RESEARCH	383	0.228
UNIVERSITY OF MISSOURI COLUMBIA	381	0.226
UNIVERSITY OF BAYREUTH	381	0.226
UNIVERSITY OF MUNSTER	380	0.226
JOHANNES GUTENBERG UNIVERSITY OF MAINZ	379	0.225
NATIONAL CHIAO TUNG UNIVERSITY	374	0.222
WASHINGTON UNIVERSITY WUSTL	373	0.222
UNIVERSITY OF MILAN	373	0.222
UNIVERSITY OF ALBERTA	372	0.221
STFC DARESBURY LABORATORY	372	0.221
SCUOLA NORMALE SUPERIORE DI PISA	372	0.221
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	368	0.219
PAUL DRUDE INSTITUTE FOR SOLID STATE ELECTRONICS	367	0.218
UNIVERSITY OF PAVIA	366	0.217
UNIVERSITY OF NOTRE DAME	366	0.217
FRIEDRICH SCHILLER UNIVERSITY OF JENA	366	0.217
PRES UNIVERSITE LILLE NORD DE FRANCE	365	0.217
UNIVERSITY OF WARSAW	364	0.216
ALCATEL LUCENT	361	0.214
UNIVERSITY OF GOTHENBURG	359	0.213
WASEDA UNIVERSITY	357	0.212
UNIVERSITY OF LILLE I	357	0.212
UNIVERSITY OF MANCHESTER	356	0.212
RICE UNIVERSITY	356	0.212
INSTITUTE OF METAL PHYSICS OF THE RUSSIAN ACADEMY OF SCIENCES	356	0.212
ACADEMIA SINICA TAIWAN	356	0.212
NATIONAL TSING HUA UNIVERSITY	355	0.211
HUMBOLDT UNIVERSITY OF BERLIN	350	0.208
UNIVERSITY OF CALIFORNIA RIVERSIDE	343	0.204
MARTIN LUTHER UNIVERSITY HALLE WITTENBERG	340	0.202
UNIVERSITY OF SHEFFIELD	336	0.200
TRINITY COLLEGE DUBLIN	335	0.199
UNIVERSITY OF EDINBURGH	334	0.198
UNIVERSITY OF WATERLOO	333	0.198
DARMSTADT UNIVERSITY OF TECHNOLOGY	333	0.198
ZHEJIANG UNIVERSITY	332	0.197
UNIVERSITY OF COLORADO BOULDER	329	0.195
UNIVERSITY OF ARIZONA	328	0.195
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	326	0.194
UNIVERSITY OF SALERNO	324	0.192
BHABHA ATOMIC RESEARCH CENTER	323	0.192
UNIVERSITY OF KONSTANZ	320	0.190
UNIVERSITY OF NEBRASKA SYSTEM	319	0.190
POLYTECHNIC UNIVERSITY OF MILAN	318	0.189
UNIVERSITY OF DELAWARE	317	0.188
LUCENT TECHNOLOGIES	316	0.188
BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY	316	0.188
UNIVERSITY OF TWENTE	315	0.187
CHARLES UNIVERSITY PRAGUE	314	0.187
UNIVERSITY OF ILLINOIS CHICAGO	313	0.186
AUTONOMOUS UNIVERSITY OF BARCELONA	309	0.184
UNIVERSITY OF MONTREAL	304	0.181
UNIVERSIDADE FEDERAL FLUMINENSE	303	0.180
IST NAZL FIS MAT	303	0.180
INST PHYS	302	0.179
UNIV OSNABRUCK	301	0.179
UNIVERSITY OF NEBRASKA LINCOLN	300	0.178
SAARLAND UNIVERSITY	297	0.176
UNIVERSITY OF ROCHESTER	295	0.175
AUSTRALIAN NATIONAL UNIVERSITY	293	0.174
NATIONAL INSTITUTES OF NATURAL SCIENCES NINS JAPAN	292	0.173
JOHANNES KEPLER UNIVERSITY OF LINZ	290	0.172
UNIVERSITY OF UTRECHT	289	0.172
OHIO UNIVERSITY	289	0.172
UNIVERSITY OF CINCINNATI	288	0.171
NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY	287	0.171
BULGARIAN ACADEMY OF SCIENCES	287	0.171
UNIVERSITY OF MASSACHUSETTS SYSTEM	286	0.170
INSTITUTE FOR MOLECULAR SCIENCE JAPAN	284	0.169
UNIVERSITY OF LJUBLJANA	283	0.168
INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE	278	0.165
UNIVERSITY OF OSLO	276	0.164
CTR ATOM BARILOCHE	276	0.164
UNIVERSITY OF CALIFORNIA SANTA CRUZ	273	0.162
UNIVERSITY OF HANNOVER	272	0.162
TOKYO UNIVERSITY OF SCIENCE	272	0.162
NIELS BOHR INSTITUTE	272	0.162
INDIAN INSTITUTE OF TECHNOLOGY IIT KANPUR	272	0.162
UNIVERSITY OF BRISTOL	269	0.160
UNIVERSIDADE FEDERAL DE MINAS GERAIS	269	0.160
UNITED STATES ARMY	269	0.160
NEW YORK UNIVERSITY	268	0.159
CANADIAN INST ADV RES	268	0.159
UNIVERSITY OF TRENTO	267	0.159
UNIVERSITY OF LIEGE	266	0.158
EXXON RES ENGN CO	264	0.157
DIPC	263	0.156
UNIVERSITY OF LIVERPOOL	262	0.156
CASE WESTERN RESERVE UNIVERSITY	262	0.156
CARNEGIE MELLON UNIVERSITY	261	0.155
AGH UNIVERSITY OF SCIENCE TECHNOLOGY	260	0.154
UNIVERSITY OF GEORGIA	254	0.151
SAINT PETERSBURG STATE UNIVERSITY	252	0.150
MONTANA STATE UNIVERSITY SYSTEM	252	0.150
MONTANA STATE UNIVERSITY BOZEMAN	252	0.150
MONTANA STATE UNIVERSITY	252	0.150
UNIVERSITY OF BIRMINGHAM	251	0.149
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	251	0.149
UNIVERSITY OF HELSINKI	250	0.149
UNIVERSITY OF FLORENCE	250	0.149
UNIVERSITY OF WISCONSIN MILWAUKEE	249	0.148
UNIVERSITY OF PARMA	249	0.148
UNIVERSITY OF KAISERSLAUTERN	249	0.148
UNITED STATES AIR FORCE	249	0.148
QUEENS UNIVERSITY CANADA	249	0.148
UNIVERSITY OF CAGLIARI	247	0.147
UNIVERSITY OF MASSACHUSETTS AMHERST	244	0.145
LEHIGH UNIVERSITY	244	0.145
SAHA INSTITUTE OF NUCLEAR PHYSICS	243	0.144
LANCASTER UNIVERSITY	242	0.144
UNIVERSITY OF GENOA	241	0.143
UNIVERSITY OF CRETE	241	0.143
RENSSELAER POLYTECHNIC INSTITUTE	240	0.143
UNIVERSITY OF OREGON	239	0.142
TOKYO METROPOLITAN UNIVERSITY	239	0.142
JAGIELLONIAN UNIVERSITY	238	0.141
TULANE UNIVERSITY	237	0.141
KOREA ADVANCED INSTITUTE OF SCIENCE TECHNOLOGY KAIST	234	0.139
ADAM MICKIEWICZ UNIVERSITY	234	0.139
OKAYAMA UNIVERSITY	233	0.138
NANYANG TECHNOLOGICAL UNIVERSITY NATIONAL INSTITUTE OF EDUCATION NIE SINGAPORE	233	0.138
NANYANG TECHNOLOGICAL UNIVERSITY	233	0.138
UNIVERSITY OF PITTSBURGH	232	0.138
UNIVERSIDADE FEDERAL DE SAO CARLOS	232	0.138
WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTARIO	231	0.137
CHIBA UNIVERSITY	231	0.137
UNIVERSITY OF SOUTHAMPTON	230	0.137
UNIVERSITY OF LEIPZIG	230	0.137
UNIVERSITY OF KIEL	230	0.137
UNIVERSITY OF ALABAMA SYSTEM	230	0.137
SHANGHAI JIAO TONG UNIVERSITY	229	0.136
UNIVERSIDADE FEDERAL DE PERNAMBUCO	226	0.134
NATIONAL UNIVERSITY OF LA PLATA	226	0.134
UNIVERSITY OF MANITOBA	225	0.134
TEMPLE UNIVERSITY	224	0.133
LD LANDAU THEORET PHYS INST	224	0.133
UNIVERSITY OF AQUILA	223	0.132
UNIVERSITY OF TRIESTE	222	0.132
PROKHOROV GENERAL PHYSICS INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES	221	0.131
BILKENT UNIVERSITY	221	0.131
UNIVERSITY OF ULM	220	0.131
UNIVERSITY OF PISA	220	0.131
SLOVAK ACADEMY OF SCIENCES	220	0.131
NORTHERN ILLINOIS UNIVERSITY	220	0.131
UNIVERSITY OF BELGRADE	219	0.130
INTERNATIONAL SUPERCONDUCTIVITY TECHNOLOGY CENTER ISTEC	218	0.130
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL	217	0.129
STANFORD LINEAR ACCELERATOR CENTER	217	0.129
UNIVERSITY OF BUENOS AIRES	214	0.127
JOINT INSTITUTE FOR NUCLEAR RESEARCH RUSSIA	214	0.127
DUKE UNIVERSITY	214	0.127
INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE	213	0.127
CARNEGIE INSTITUTION FOR SCIENCE	213	0.127
WEST VIRGINIA UNIVERSITY	212	0.126
RUSSIAN ACADEMY OF SCIENCE LEBEDEV PHYSICAL INSTITUTE	212	0.126
UNIVERSIDADE DE LISBOA	211	0.125
INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE IACS JADAVPUR	211	0.125
CENTRO BRASILEIRO DE PESQUISAS FISICAS	211	0.125
BOSTON COLLEGE	211	0.125
UNIVERSITY OF HENRI POINCARE NANCY I	210	0.125
KOBE UNIVERSITY	210	0.125
UNIVERSITY OF BONN	209	0.124
UNIVERSITE DE BORDEAUX	209	0.124
SUNGKYUNKWAN UNIVERSITY	208	0.124
OKLAHOMA STATE UNIVERSITY SYSTEM	208	0.124
OKLAHOMA STATE UNIVERSITY STILLWATER	208	0.124
NEWCASTLE UNIVERSITY UK	207	0.123
UNIVERSITY OF ZAGREB	206	0.122
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	206	0.122
RUPRECHT KARL UNIVERSITY HEIDELBERG	205	0.122
GRAZ UNIVERSITY OF TECHNOLOGY	204	0.121
YONSEI UNIVERSITY	203	0.121
KOREA UNIVERSITY	203	0.121
ECOLE SUPERIEURE DE PHYSIQUE ET DE CHIMIE INDUSTRIELLES DE LA VILLE DE PARIS	203	0.121
JAWAHARLAL NEHRU CENTER FOR ADVANCED SCIENTIFIC RESEARCH	202	0.120
EBERHARD KARLS UNIVERSITY OF TUBINGEN	202	0.120
UNIVERSITY OF LEEDS	201	0.119
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY	200	0.119
UNIVERSITY OF BATH	199	0.118
RISO NATL LAB	199	0.118
CHINESE UNIVERSITY OF HONG KONG	199	0.118
UNIVERSITY OF VALENCIA	197	0.117
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	197	0.117
UNIVERSITY OF MISSOURI KANSAS CITY	197	0.117
UNIVERSITY OF JYVASKYLA	196	0.116
KYUSHU UNIVERSITY	194	0.115
OSAKA CITY UNIVERSITY	192	0.114
CLEMSON UNIVERSITY	191	0.113
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	190	0.113
DALHOUSIE UNIVERSITY	190	0.113
NORDITA	189	0.112
UNIVERSITY OF ARKANSAS SYSTEM	188	0.112
UNIVERSITY OF NAPLES FEDERICO II	187	0.111
WASHINGTON STATE UNIVERSITY	186	0.111
URAL FEDERAL UNIVERSITY	186	0.111
UNIVERSITY OF PADUA	186	0.111
UNIVERSITY OF ELECTRO COMMUNICATIONS JAPAN	186	0.111
UNIVERSITY OF CONNECTICUT	186	0.111
MOSCOW INSTITUTE OF PHYSICS TECHNOLOGY	186	0.111
PETERSBURG NUCLEAR PHYSICS INSTITUTE	184	0.109
VIRGINIA COMMONWEALTH UNIVERSITY	181	0.108
UNIVERSITY OF ARKANSAS FAYETTEVILLE	181	0.108
STOCKHOLM UNIVERSITY	180	0.107
PACIFIC NORTHWEST LABORATORY	180	0.107
INSTITUTO SUPERIOR TECNICO	179	0.106
COLLEGE WILLIAM MARY	179	0.106
UNIVERSITY OF NANTES ANGERS LE MANS	177	0.105
UNIVERSITY OF MILANO BICOCCA	177	0.105
ISTITUTO DEI SISTEMI COMPLESSI ISC	177	0.105
UNIVERSITY OF OTTAWA	176	0.105
DESY	176	0.105
UNIVERSITY OF NAMUR	175	0.104
UNIVERSITY OF GRAZ	175	0.104
KEIO UNIVERSITY	175	0.104
FOUNDATION FOR RESEARCH TECHNOLOGY HELLAS FORTH	175	0.104
BEIJING NORMAL UNIVERSITY	175	0.104
UNIVERSITY OF SYDNEY	174	0.103
UNIVERSITY OF ST ANDREWS	174	0.103
NATIONAL CHENG KUNG UNIVERSITY	174	0.103
SN BOSE NATIONAL CENTRE FOR BASIC SCIENCE	173	0.103
DURHAM UNIVERSITY	173	0.103
UNIVERSITY OF QUEENSLAND	172	0.102
UNIVERSITY OF SILESIA	171	0.102
LOUGHBOROUGH UNIVERSITY	171	0.102
UNIVERSITY OF OVIEDO	170	0.101
UNIVERSITY OF FRIBOURG	170	0.101
UNIVERSIDADE FEDERAL DO CEARA	170	0.101
UNIVERSIDAD DE VALLADOLID	169	0.100
UNIVERSITY OF BREMEN	168	0.100
TEXAS TECH UNIVERSITY SYSTEM	168	0.100
TEXAS TECH UNIVERSITY	168	0.100
NATIONAL UNIVERSITY OF ROSARIO	168	0.100
UNIV GESAMTHSCH PADERBORN	167	0.099
INST BALSEIRO	167	0.099
CENTRALESUPELEC	166	0.099
SYNCHROTRON SOLEIL	164	0.097
ROMA TRE UNIVERSITY	164	0.097
OSAKA PREFECTURE UNIVERSITY	163	0.097
KOREA INSTITUTE FOR ADVANCED STUDY	163	0.097
US AIR FORCE RESEARCH LABORATORY	161	0.096
COLORADO STATE UNIVERSITY	161	0.096
POLYTECHNIC UNIVERSITY OF TURIN	160	0.095
WAYNE STATE UNIVERSITY	158	0.094
VANDERBILT UNIVERSITY	156	0.093
UNIVERSITY OF MELBOURNE	156	0.093
UNIV TOKYO	156	0.093
UNIVERSITY OF FREIBURG	154	0.091
GEORGETOWN UNIVERSITY	154	0.091
EUROPEAN UNIVERSITY BRETAGNE	154	0.091
UNIVERSITY OF YORK UK	153	0.091
NATIONAL SUN YAT SEN UNIVERSITY	153	0.091
(4393 Organizations-Enhanced {0} {1} value(s) outside display options.)
(6733(4.000%){0} records{1} do not contain data in the field being analyzed.)
