Organizations-Enhanced	records	% of 114189
UNIVERSITY OF SOUTH CAROLINA SYSTEM	430	0.377
UNIVERSITY OF SOUTH CAROLINA COLUMBIA	430	0.377
UNIVERSITY OF TURIN	428	0.375
CHALMERS UNIVERSITY OF TECHNOLOGY	428	0.375
LANCASTER UNIVERSITY	413	0.362
UNIVERSITY OF ALBERTA	412	0.361
AALTO UNIVERSITY	412	0.361
UNIVERSITY OF FLORENCE	404	0.354
NATIONAL RESEARCH COUNCIL CANADA	404	0.354
UNIVERSITY OF PERUGIA	397	0.348
UNIVERSITY OF LJUBLJANA	397	0.348
INTERNATIONAL SCHOOL FOR ADVANCED STUDIES	396	0.347
AUSTRIAN ACADEMY OF SCIENCES	396	0.347
UNIVERSITY OF STUTTGART	395	0.346
UNIVERSITY OF BARI	395	0.346
SOUTHERN METHODIST UNIVERSITY	395	0.346
UNIVERSITY OF MELBOURNE	394	0.345
DESY	391	0.342
DELFT UNIVERSITY OF TECHNOLOGY	391	0.342
STOCKHOLM UNIVERSITY	390	0.342
UNIVERSITY OF GOTTINGEN	389	0.341
TSINGHUA UNIVERSITY	388	0.340
ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS	388	0.340
HELMHOLTZ ZENTRUM BERLIN HZB	387	0.339
NATIONAL TAIWAN UNIVERSITY	386	0.338
UNIVERSITY OF VALENCIA	385	0.337
UNIVERSITY OF MONTREAL	384	0.336
JAPAN ATOMIC ENERGY AGENCY	384	0.336
INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE	384	0.336
GEORGIA INSTITUTE OF TECHNOLOGY	384	0.336
STATE UNIVERSITY OF NEW YORK SUNY BUFFALO	379	0.332
OKAYAMA UNIVERSITY	379	0.332
UNIVERSITY OF PAVIA	378	0.331
VIENNA UNIVERSITY OF TECHNOLOGY	375	0.328
UNIVERSITE LIBRE DE BRUXELLES	372	0.326
DARMSTADT UNIVERSITY OF TECHNOLOGY	371	0.325
UNIVERSITY OF UTRECHT	365	0.320
PRES UNIVERSITE DE TOULOUSE	364	0.319
ECOLE SUPERIEURE DE PHYSIQUE ET DE CHIMIE INDUSTRIELLES DE LA VILLE DE PARIS	362	0.317
UNIVERSITY OF ERLANGEN NUREMBERG	361	0.316
CINVESTAV CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITOCNICO NACIONAL	361	0.316
KU LEUVEN	360	0.315
UNIVERSITY OF FERRARA	358	0.314
UNIVERSITY OF SYDNEY	357	0.313
UNIVERSITY OF ROSTOCK	357	0.313
UNIVERSITY OF BUENOS AIRES	355	0.311
NORTHERN ILLINOIS UNIVERSITY	355	0.311
RUSSIAN ACADEMY OF SCIENCE LEBEDEV PHYSICAL INSTITUTE	354	0.310
ALCATEL LUCENT	354	0.310
YONSEI UNIVERSITY	352	0.308
LOUISIANA STATE UNIVERSITY SYSTEM	351	0.307
LOUISIANA STATE UNIVERSITY	351	0.307
UNIVERSITY OF WURZBURG	349	0.306
ROYAL HOLLOWAY UNIVERSITY LONDON	348	0.305
UNIVERSITY OF UTAH	346	0.303
UNIVERSITY OF ROME TOR VERGATA	345	0.302
COLORADO STATE UNIVERSITY	342	0.300
TOKYO METROPOLITAN UNIVERSITY	341	0.299
ARIZONA STATE UNIVERSITY	341	0.299
UNIVERSITY OF SOUTHERN CALIFORNIA	340	0.298
UNIVERSITY OF BASEL	340	0.298
UNIVERSITY OF REGENSBURG	337	0.295
UNIVERSITY OF ATHENS	337	0.295
NATIONAL UNIVERSITY OF SINGAPORE	336	0.294
JUSTUS LIEBIG UNIVERSITY GIESSEN	335	0.293
HUMBOLDT UNIVERSITY OF BERLIN	335	0.293
UNIVERSIDAD DE CANTABRIA	331	0.290
NATIONAL INSTITUTE OF MATERIALS SCIENCE NIMS JAPAN	331	0.290
IOFFE PHYSICAL TECHNICAL INSTITUTE	328	0.287
COLLEGE WILLIAM MARY	327	0.286
LUCENT TECHNOLOGIES	325	0.285
UNIVERSITY OF MUNSTER	324	0.284
UNIVERSITY OF PAUL SABATIER TOULOUSE III	323	0.283
TECHNICAL UNIVERSITY OF DENMARK	322	0.282
UNIVERSITY OF MISSOURI SYSTEM	321	0.281
FORSCHUNGSZENTRUM JULICH	318	0.278
UTAH SYSTEM OF HIGHER EDUCATION	317	0.278
UNIVERSITY OF BERGEN	314	0.275
INSTITUTE FOR ADVANCED STUDY USA	312	0.273
BRUNEL UNIVERSITY	312	0.273
UNIVERSITY OF VIENNA	311	0.272
UNIVERSITY OF VICTORIA	306	0.268
UNIVERSITY OF TEXAS DALLAS	303	0.265
EXXON RES ENGN CO	303	0.265
UNIVERSITY OF WATERLOO	302	0.264
UNIVERSITY OF TEXAS ARLINGTON	301	0.264
UNIVERSITY OF HANNOVER	300	0.263
KENT STATE UNIVERSITY	299	0.262
FOM	297	0.260
PHILIPPS UNIVERSITY MARBURG	295	0.258
UNIVERSITY OF HOUSTON	294	0.257
UNIVERSITY OF THE ANDES COLOMBIA	292	0.256
JAGIELLONIAN UNIVERSITY	291	0.255
CZECH TECHNICAL UNIVERSITY PRAGUE	291	0.255
UNIVERSITY OF KONSTANZ	290	0.254
HELSINKI INST PHYS	290	0.254
SLOVAK ACADEMY OF SCIENCES	288	0.252
YEREVAN PHYSICS INSTITUTE	287	0.251
CHONNAM NATIONAL UNIVERSITY	287	0.251
UNIVERSITY OF BASQUE COUNTRY	285	0.250
BAR ILAN UNIVERSITY	285	0.250
OKLAHOMA STATE UNIVERSITY SYSTEM	284	0.249
OKLAHOMA STATE UNIVERSITY STILLWATER	284	0.249
NORTH CAROLINA STATE UNIVERSITY	281	0.246
CARLETON UNIVERSITY	281	0.246
UNIVERSITY OF NOTTINGHAM	280	0.245
MCMASTER UNIVERSITY	280	0.245
UNIVERSIDADE DE LISBOA	278	0.243
RENSSELAER POLYTECHNIC INSTITUTE	278	0.243
NIIGATA UNIVERSITY	278	0.243
UNIVERSITY OF DUISBURG ESSEN	277	0.243
VU UNIVERSITY AMSTERDAM	276	0.242
UNIVERSITY OF OSLO	274	0.240
UNIVERSITY OF DELAWARE	274	0.240
UNIVERSITY OF LOUISIANA SYSTEM	272	0.238
COMENIUS UNIVERSITY BRATISLAVA	272	0.238
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	271	0.237
UNIV DELHI	271	0.237
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	269	0.236
UNIVERSITY OF SOUTHAMPTON	268	0.235
UNIVERSITY OF TRENTO	266	0.233
UNIVERSITY OF KENTUCKY	265	0.232
UNIVERSITY OF TWENTE	263	0.230
TECHNICAL UNIVERSITY OF BERLIN	263	0.230
UNIVERSITY OF AUGSBURG	261	0.229
NATIONAL CENTRAL UNIVERSITY	261	0.229
LOUISIANA TECHNICAL UNIVERSITY	261	0.229
BAYLOR UNIVERSITY	261	0.229
CITY COLLEGE OF NEW YORK CUNY	260	0.228
ECOLE NORMALE SUPERIEURE ENS LYON	259	0.227
UNIVERSITY COLLEGE DUBLIN	258	0.226
UNIVERSITY OF SAVOIE	255	0.223
NATIONAL ACADEMY OF SCIENCES UKRAINE	252	0.221
INDIAN INSTITUTE OF SCIENCE IISC BANGLORE	252	0.221
BLAISE PASCAL UNIVERSITY	251	0.220
INDIAN INSTITUTE OF TECHNOLOGY IIT	250	0.219
NATIONAL INSTITUTES OF NATURAL SCIENCES NINS JAPAN	249	0.218
TEXAS TECH UNIVERSITY SYSTEM	248	0.217
TEXAS TECH UNIVERSITY	248	0.217
JEFFERSON NATIONAL ACCELERATOR	247	0.216
UNIVERSIDADE ESTADUAL DE CAMPINAS	246	0.215
ISTITUTO NAZIONALE GEOFISICA E VULCANOLOGIA INGV	246	0.215
COMPLUTENSE UNIVERSITY OF MADRID	245	0.215
BHABHA ATOMIC RESEARCH CENTER	245	0.215
QUEENS UNIVERSITY BELFAST	241	0.211
UNIVERSITY OF MONTPELLIER SUD DE FRANCE	240	0.210
UNIVERSITY OF MONTPELLIER	240	0.210
WASHINGTON UNIVERSITY WUSTL	239	0.209
NANJING UNIVERSITY	238	0.208
UNIVERSIDADE ESTADUAL PAULISTA	236	0.207
HEINRICH HEINE UNIVERSITY DUSSELDORF	234	0.205
EINDHOVEN UNIVERSITY OF TECHNOLOGY	233	0.204
NIPPON TELEGRAPH TELEPHONE CORPORATION	232	0.203
LD LANDAU THEORET PHYS INST	231	0.202
UNIVERSITY OF SUSSEX	230	0.201
PERIMETER INSTITUTE FOR THEORETICAL PHYSICS	230	0.201
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	229	0.201
SMITHSONIAN INSTITUTION	229	0.201
NEC CORPORATION	229	0.201
UNIVERSITY OF QUEENSLAND	227	0.199
UNIVERSITY OF BAYREUTH	227	0.199
BEN GURION UNIVERSITY	227	0.199
UNIVERSITY OF CONNECTICUT	226	0.198
SLAC NATL ACCELERATOR LAB	226	0.198
EBERHARD KARLS UNIVERSITY OF TUBINGEN	224	0.196
XEROX	222	0.194
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	222	0.194
UNIVERSITE DE BORDEAUX	221	0.194
KOREA INSTITUTE OF SCIENCE TECHNOLOGY	220	0.193
VRIJE UNIVERSITY OF BRUSSELS	219	0.192
UNIVERSITY OF LOUISVILLE	216	0.189
OHIO UNIVERSITY	216	0.189
UNIVERSITY OF MILANO BICOCCA	213	0.187
IST NAZL FIS MAT	213	0.187
EOTVOS LORAND UNIVERSITY	213	0.187
GENERAL ATOMICS AFFILATED COMPANIES	208	0.182
UNIVERSITY OF CATANIA	205	0.180
YORK UNIVERSITY CANADA	204	0.179
UNIVERSITY OF HOUSTON SYSTEM	204	0.179
NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI MOSCOW ENGINEERING PHYSICS INSTITUTE	202	0.177
MT HOLYOKE COLL	202	0.177
INST PHYS	201	0.176
HORIA HULUBEI NATIONAL INSTITUTE OF PHYSICS NUCLEAR ENGINEERING	201	0.176
STFC DARESBURY LABORATORY	200	0.175
UNIVERSITY OF BASILICATA	199	0.174
CASE WESTERN RESERVE UNIVERSITY	199	0.174
UNIVERSITY OF JYVASKYLA	197	0.173
UNIVERSITY OF ULM	196	0.172
UNIVERSITY OF SIENA	195	0.171
UNIVERSITY OF SHERBROOKE	195	0.171
INSTITUTO SUPERIOR TECNICO	193	0.169
UNIVERSITY OF ANTWERP	191	0.167
NATIONAL RENEWABLE ENERGY LABORATORY USA	191	0.167
UNIVERSITY OF SHEFFIELD	190	0.166
UNIVERSITY OF GOTHENBURG	190	0.166
UNIVERSITE NICE SOPHIA ANTIPOLIS	190	0.166
QUEEN MARY UNIVERSITY LONDON	190	0.166
FLORIDA INTERNATIONAL UNIVERSITY	190	0.166
NORDITA	188	0.165
H NIEWODNICZANSKI INST NUCL PHYS	186	0.163
HONG KONG UNIVERSITY OF SCIENCE TECHNOLOGY	185	0.162
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	185	0.162
UNIVERSITY OF NEW SOUTH WALES	184	0.161
NOVOSIBIRSK STATE UNIVERSITY	184	0.161
CHIBA UNIVERSITY	184	0.161
UNIVERSIDADE FEDERAL DO ABC UFABC	183	0.160
NARA WOMENS UNIVERSITY	182	0.159
FRIEDRICH SCHILLER UNIVERSITY OF JENA	182	0.159
TOKYO UNIVERSITY OF AGRICULTURE TECHNOLOGY	181	0.159
DURHAM UNIVERSITY	181	0.159
OLD DOMINION UNIVERSITY	179	0.157
KANAGAWA UNIVERSITY	179	0.157
UNIVERSITY OF STRATHCLYDE	177	0.155
TOHOKU GAKUIN UNIV	177	0.155
TOHO UNIVERSITY	176	0.154
LANGSTON UNIV	175	0.153
TEMPLE UNIVERSITY	174	0.152
BULGARIAN ACADEMY OF SCIENCES	174	0.152
OBSERVATOIRE DE PARIS	172	0.151
CALIFORNIA STATE UNIVERSITY FRESNO	172	0.151
SAINT PETERSBURG STATE UNIVERSITY	171	0.150
GHENT UNIVERSITY	171	0.150
UNIVERSITY OF POTSDAM	168	0.147
UNIVERSITY OF MARIBOR	168	0.147
UNIVERSITY OF KIEL	168	0.147
UNIVERSITY OF BELGRADE	168	0.147
NIPPON DENTAL UNIVERSITY	168	0.147
KOBE UNIVERSITY	168	0.147
COLLEGE DE FRANCE	168	0.147
POHANG UNIVERSITY OF SCIENCE TECHNOLOGY POSTECH	167	0.146
ITHACA COLL	167	0.146
UNIVERSITY SYSTEM OF NEW HAMPSHIRE	166	0.145
UNIVERSITY OF NEW HAMPSHIRE	166	0.145
UNIVERSITY OF YORK UK	165	0.144
UNIVERSITY OF NANTES ANGERS LE MANS	165	0.144
RISO NATL LAB	165	0.144
UNIVERSITY OF KAISERSLAUTERN	164	0.144
RUDJER BOSKOVIC INSTITUTE	164	0.144
GEORGE MASON UNIVERSITY	164	0.144
KYUSHU UNIVERSITY	162	0.142
CENTRAL CHINA NORMAL UNIVERSITY	161	0.141
PHILIPS RESEARCH	160	0.140
UNIVERSITA DI MODENA E REGGIO EMILIA	159	0.139
JAPAN SYNCHROTRON RADIATION RESEARCH INSTITUTE	159	0.139
UNIVERSITY OF LEEDS	158	0.138
POLYTECHNIC UNIVERSITY OF MILAN	158	0.138
AGH UNIVERSITY OF SCIENCE TECHNOLOGY	158	0.138
ZHEJIANG UNIVERSITY	157	0.137
UNIVERSITY OF MISSOURI COLUMBIA	156	0.137
NEVADA SYSTEM OF HIGHER EDUCATION NSHE	156	0.137
ICREA	156	0.137
HOKKAIDO UNIVERSITY	156	0.137
UNIVERSITY OF SANTIAGO DE COMPOSTELA	154	0.135
UNIVERSITY OF FRIBOURG	154	0.135
SHANDONG UNIVERSITY	154	0.135
(3534 Organizations-Enhanced {0} {1} value(s) outside display options.)
(15547(13.615%){0} records{1} do not contain data in the field being analyzed.)
